Date,Temp,total_precip,rain_avg_year,Sun,sun_avg_year
11/26/2016,5.99,2.15,3.75,5.42,3.81
11/27/2016,8.55,15.96,3.77,0.27,3.78
11/28/2016,7.23,2.91,3.78,2.85,3.75
11/29/2016,5.56,1.6,3.78,4.43,3.73
11/30/2016,5.61,0.43,3.77,3.36,3.7
12/1/2016,9.45,6.51,3.74,1.34,3.68
12/2/2016,7.26,1.53,3.7,5.49,3.66
12/3/2016,7.29,0.27,3.66,7.34,3.64
12/4/2016,8.92,5.56,3.59,3.01,3.62
12/5/2016,9.91,1.99,3.53,3.5,3.6
12/6/2016,6.38,5.48,3.47,3.61,3.58
12/7/2016,3.42,1.21,3.42,4.93,3.56
12/8/2016,4.21,1.66,3.36,5.76,3.54
12/9/2016,6.32,4.03,3.3,3.68,3.52
12/10/2016,3.95,2.48,3.25,4.68,3.5
12/11/2016,2.30,2.06,3.2,4.74,3.49
12/12/2016,3.14,1.16,3.16,4.17,3.48
12/13/2016,6.13,16.34,3.13,0.92,3.48
12/14/2016,4.89,9.37,3.09,1.55,3.48
12/15/2016,1.79,2.58,3.06,3.94,3.48
12/16/2016,0.50,3.69,3.02,4.07,3.49
12/17/2016,2.32,2.25,2.99,4.11,3.5
12/18/2016,5.41,0.39,2.97,5.66,3.52
12/19/2016,6.14,0.32,2.94,6.56,3.53
12/20/2016,6.61,0.98,2.92,2.18,3.55
12/21/2016,7.53,0.18,2.9,4.22,3.57
12/22/2016,9.88,19.83,2.89,0.31,3.58
12/23/2016,7.34,7.36,2.88,2.46,3.59
12/24/2016,3.24,1.58,2.87,4.71,3.6
12/25/2016,3.66,0.32,2.87,5.47,3.6
12/26/2016,5.90,5.67,2.87,1.51,3.6
12/27/2016,5.81,15.29,2.88,0.47,3.59
12/28/2016,1.02,1.24,2.89,4.57,3.58
12/29/2016,1.96,2.75,2.9,2.59,3.57
12/30/2016,1.68,1.04,2.92,5.17,3.55
12/31/2016,2.69,0.97,2.94,5.29,3.53
1/1/2017,3.51,0.62,2.95,5.38,3.51
1/2/2017,4.79,1.28,2.97,3.53,3.49
1/3/2017,4.57,1.3,3,4.64,3.48
1/4/2017,4.02,1.86,3.02,4.37,3.46
1/5/2017,2.83,1.24,3.04,3.98,3.45
1/6/2017,1.94,0.81,3.05,5.03,3.44
1/7/2017,3.11,1.49,3.05,4.6,3.43
1/8/2017,3.74,12.62,3.05,2.4,3.43
1/9/2017,4.83,4.52,3.05,1.82,3.42
1/10/2017,3.75,1.7,3.05,4.75,3.42
1/11/2017,0.77,2.48,3.04,3.94,3.42
1/12/2017,0.74,3.82,3.03,3.03,3.42
1/13/2017,0.40,4.73,3.03,3.88,3.43
1/14/2017,-1.78,4.24,3.02,2.89,3.43
1/15/2017,-1.76,4.18,3.02,3.87,3.42
1/16/2017,0.91,4.33,3.02,3.62,3.42
1/17/2017,1.32,1.52,3.03,5.04,3.43
1/18/2017,1.92,1.53,3.03,4.67,3.43
1/19/2017,2.67,1.66,3.03,3.21,3.44
1/20/2017,0.87,3.29,3.02,2.67,3.46
1/21/2017,0.96,1.91,3.01,4.95,3.47
1/22/2017,0.91,3.57,3,2.78,3.5
1/23/2017,-0.59,4.05,2.99,3.54,3.53
1/24/2017,-2.21,2.57,2.98,4.21,3.57
1/25/2017,-1.07,1.51,2.95,5.41,3.61
1/26/2017,0.51,0.35,2.92,7.11,3.66
1/27/2017,4.05,2.7,2.89,2.45,3.7
1/28/2017,2.92,0.58,2.86,6.27,3.75
1/29/2017,4.06,3.71,2.83,3.54,3.8
1/30/2017,4.55,5.81,2.79,2.12,3.84
1/31/2017,0.88,0.53,2.74,5.26,3.88
2/1/2017,1.70,1.91,2.69,3.47,3.93
2/2/2017,0.33,2.25,2.65,5.02,3.97
2/3/2017,1.92,0.53,2.61,6.05,4
2/4/2017,3.54,0.1,2.58,5.54,4.04
2/5/2017,3.77,8.62,2.56,1.83,4.07
2/6/2017,3.91,5.79,2.55,3.54,4.09
2/7/2017,1.50,1.42,2.56,4.56,4.12
2/8/2017,2.04,0.76,2.58,3.75,4.13
2/9/2017,1.36,4.5,2.62,1.43,4.15
2/10/2017,0.26,4.49,2.68,3.33,4.16
2/11/2017,0.20,3.91,2.76,4.2,4.17
2/12/2017,1.70,2.47,2.84,4.41,4.17
2/13/2017,2.04,1.09,2.92,5.26,4.18
2/14/2017,1.93,1.41,3.01,4.4,4.18
2/15/2017,2.48,0.41,3.09,6.35,4.19
2/16/2017,4.95,0.17,3.17,7.07,4.2
2/17/2017,7.36,6.74,3.23,1.76,4.22
2/18/2017,2.95,1.16,3.3,4.68,4.24
2/19/2017,1.79,0.74,3.35,7.25,4.26
2/20/2017,4.63,11.73,3.38,1.25,4.28
2/21/2017,1.40,1.3,3.41,5.64,4.3
2/22/2017,3.16,4.85,3.43,3.66,4.32
2/23/2017,6.29,13.17,3.44,0.95,4.34
2/24/2017,2.74,1.04,3.45,4.83,4.36
2/25/2017,2.60,1.59,3.46,6.34,4.37
2/26/2017,2.99,1.7,3.45,4.48,4.39
2/27/2017,1.92,0.18,3.44,7.22,4.42
2/28/2017,2.29,0.16,3.43,8.07,4.44
3/1/2017,3.94,1.5,3.43,4.95,4.47
3/2/2017,5.43,3.77,3.42,2.79,4.51
3/3/2017,4.62,1.05,3.41,5.74,4.55
3/4/2017,4.38,0.79,3.4,7.04,4.59
3/5/2017,5.01,1.03,3.39,5.49,4.63
3/6/2017,5.38,2.59,3.39,2.64,4.67
3/7/2017,2.49,2.18,3.4,4.14,4.71
3/8/2017,1.82,2.21,3.42,5.09,4.74
3/9/2017,3.34,2.04,3.45,5.22,4.78
3/10/2017,4.14,2.9,3.48,5.78,4.81
3/11/2017,3.54,1.12,3.53,7.69,4.83
3/12/2017,4.17,0.05,3.58,8.66,4.85
3/13/2017,5.43,2.73,3.64,3.69,4.87
3/14/2017,5.28,3.17,3.7,3.43,4.89
3/15/2017,3.79,2.97,3.76,4.79,4.9
3/16/2017,4.77,0.54,3.82,5.91,4.91
3/17/2017,5.15,0.41,3.87,7.88,4.92
3/18/2017,5.75,0.9,3.93,6,4.92
3/19/2017,7.12,0.72,3.97,8.52,4.91
3/20/2017,7.61,4.53,4,7.52,4.91
3/21/2017,6.46,12.46,4.03,1.04,4.9
3/22/2017,6.15,1.31,4.04,6.49,4.9
3/23/2017,5.29,1.84,4.04,3.65,4.9
3/24/2017,4.63,1.03,4.03,5.72,4.9
3/25/2017,4.95,1.35,4.01,5.58,4.91
3/26/2017,5.38,4.21,3.98,4.14,4.94
3/27/2017,5.20,6.16,3.94,4.32,4.97
3/28/2017,5.50,0.89,3.9,6.98,5.02
3/29/2017,6.77,0.85,3.85,5.88,5.09
3/30/2017,8.74,2.06,3.81,6.7,5.16
3/31/2017,5.87,9.49,3.79,1.47,5.24
4/1/2017,5.47,1.42,3.78,4.27,5.32
4/2/2017,5.91,0.61,3.77,7.86,5.39
